Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"NHP2","NHP2 Ribonucleoprotein","Protein Coding","Q9NX24","55","GC05M178149","14.4533491134644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHP2"
"TERF2","Telomeric Repeat Binding Factor 2","Protein Coding","Q15554","55","GC16M069355","14.2663602828979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF2"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","14.1881809234619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"ENSG00000277925","Vertebrate Telomerase RNA","RNA Gene","","8","GC03M169764","14.0556926727295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000277925"
"NOP10","NOP10 Ribonucleoprotein","Protein Coding","Q9NPE3","52","GC15M047894","13.4168128967285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP10"
"GAR1","GAR1 Ribonucleoprotein","Protein Coding","Q9NY12","50","GC04P109815","12.7974939346313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAR1"
"SCYL1","SCY1 Like Pseudokinase 1","Protein Coding","Q96KG9","53","GC11P065525","12.6950159072876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCYL1"
"PIF1","PIF1 5'-To-3' DNA Helicase","Protein Coding","Q9H611","47","GC15M064815","12.489182472229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIF1"
"NAF1","Nuclear Assembly Factor 1 Ribonucleoprotein","Protein Coding","Q96HR8","46","GC04M163109","12.1905813217163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAF1"
"PTGES3","Prostaglandin E Synthase 3","Protein Coding","Q15185","58","GC12M060421","11.997857093811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES3"
"TEN1","TEN1 Subunit Of CST Complex","Protein Coding","Q86WV5","40","GC17P155608","11.9737014770508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEN1"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","11.9200754165649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"TINF2","TERF1 Interacting Nuclear Factor 2","Protein Coding","Q9BSI4","53","GC14M028843","11.454776763916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2"
"LOC100128588","PIN2 (TERF1) Interacting Telomerase Inhibitor 1 Pseudogene","Pseudogene","","5","GC06M112325","10.8392648696899","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC100128588"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","10.4927558898926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"SMG5","SMG5 Nonsense Mediated MRNA Decay Factor","Protein Coding","Q9UPR3","45","GC01M167489","10.3259773254395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMG5"
"STN1","STN1 Subunit Of CST Complex","Protein Coding","Q9H668","52","GC10M104323","10.1238861083984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STN1"
"HMBOX1","Homeobox Containing 1","Protein Coding","Q6NT76","41","GC08P028890","9.52715396881104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMBOX1"
"SP1","Sp1 Transcription Factor","Protein Coding","P08047","60","GC12P053380","8.44102382659912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1"
"ZCCHC8","Zinc Finger CCHC-Type Containing 8","Protein Coding","Q6NZY4","50","GC12M124707","8.18418598175049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZCCHC8"
"TNKS","Tankyrase","Protein Coding","O95271","59","GC08P009555","7.51876926422119","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNKS"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","6.98546409606934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"SHQ1","SHQ1, H/ACA Ribonucleoprotein Assembly Factor","Protein Coding","Q6PI26","48","GC03M072725","6.95873594284058","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHQ1"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","64","GC09M021967","6.92761087417603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","6.90905427932739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"CTC1","CST Telomere Replication Complex Component 1","Protein Coding","Q2NKJ3","48","GC17M096249","6.8233585357666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTC1"
"DHX36","DEAH-Box Helicase 36","Protein Coding","Q9H2U1","53","GC03M154272","6.74699211120605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX36"
"SMG7","SMG7 Nonsense Mediated MRNA Decay Factor","Protein Coding","Q92540","48","GC01P183479","6.67936229705811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMG7"
"TERF2IP","TERF2 Interacting Protein","Protein Coding","Q9NYB0","52","GC16P075647","6.6725606918335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF2IP"
"HNRNPC","Heterogeneous Nuclear Ribonucleoprotein C","Protein Coding","P07910","55","GC14M028709","6.51502418518066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPC"
"MXD1","MAX Dimerization Protein 1","Protein Coding","Q05195","48","GC02P069897","6.43021869659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MXD1"
"NAT10","N-Acetyltransferase 10","Protein Coding","Q9H0A0","50","GC11P034105","6.42255210876465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAT10"
"E2F1","E2F Transcription Factor 1","Protein Coding","Q01094","57","GC20M033675","6.32140254974365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1"
"XRCC5","X-Ray Repair Cross Complementing 5","Protein Coding","P13010","57","GC02P216107","6.08939933776855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC5"
"XRCC6","X-Ray Repair Cross Complementing 6","Protein Coding","P12956","58","GC22P092280","6.08655643463135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC6"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","6.00896549224854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"CCND1","Cyclin D1","Protein Coding","P24385","65","GC11P069641","6.00616407394409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","5.99986362457275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"RAD50","RAD50 Double Strand Break Repair Protein","Protein Coding","Q92878","62","GC05P132556","5.92538022994995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056444","5.77858638763428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"PARN","Poly(A)-Specific Ribonuclease","Protein Coding","O95453","56","GC16M014435","5.73005676269531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARN"
"EXOSC10","Exosome Component 10","Protein Coding","Q01780","48","GC01M022433","5.67551326751709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC10"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","5.49979496002197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"RPA1","Replication Protein A1","Protein Coding","P27694","60","GC17P001829","5.48826742172241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA1"
"SP3","Sp3 Transcription Factor","Protein Coding","Q02447","55","GC02M173882","5.4855318069458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP3"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","O15392","58","GC17P078214","5.35183525085449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","5.34439325332642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"MRE11","MRE11 Homolog, Double Strand Break Repair Nuclease","Protein Coding","P49959","61","GC11M140320","5.32276725769043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11"
"HNRNPU","Heterogeneous Nuclear Ribonucleoprotein U","Protein Coding","Q00839","55","GC01M244853","5.30986070632935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPU"
"NVL","Nuclear VCP Like","Protein Coding","O15381","46","GC01M224227","5.29470872879028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NVL"
"MCRS1","Microspherule Protein 1","Protein Coding","Q96EZ8","48","GC12M052325","5.2688889503479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCRS1"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","P09651","60","GC12P054280","5.25881481170654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1"
"SNORD15A","Small Nucleolar RNA, C/D Box 15A","RNA Gene","","25","GC11P075400","5.20323276519775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A"
"RTEL1","Regulator Of Telomere Elongation Helicase 1","Protein Coding","Q9NZ71","54","GC20P069269","5.17504501342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTEL1"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","5.07140731811523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"NBN","Nibrin","Protein Coding","O60934","61","GC08M089933","4.96041631698608","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","63","GC06P182020","4.91474866867065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"UBE3A","Ubiquitin Protein Ligase E3A","Protein Coding","Q05086","61","GC15M025333","4.86851119995117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3A"
"TENT4B","Terminal Nucleotidyltransferase 4B","Protein Coding","Q8NDF8","46","GC16P127955","4.80902290344238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT4B"
"MKRN1","Makorin Ring Finger Protein 1","Protein Coding","Q9UHC7","48","GC07M140453","4.63720035552979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKRN1"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","67","GC06P151656","4.61647176742554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"ATR","ATR Serine/Threonine Kinase","Protein Coding","Q13535","67","GC03M142449","4.58829116821289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","28","GC02P233275","4.58727788925171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"TRT-TGT6-1","TRNA-Thr (Anticodon TGT) 6-1","RNA Gene","","12","GC05M181191","4.58580827713013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRT-TGT6-1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","61","GC12P074277","4.58518600463867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"TNKS2","Tankyrase 2","Protein Coding","Q9H2K2","57","GC10P091798","4.52069902420044","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNKS2"
"PML","PML Nuclear Body Scaffold","Protein Coding","P29590","59","GC15P073994","4.51811027526855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PML"
"MNS16A","MNS16A Minisatellite Promoter","Functional Element","","2","GC05P005625","4.51141548156738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MNS16A"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","4.47248363494873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"EGF","Epidermal Growth Factor","Protein Coding","P01133","64","GC04P109912","4.42451095581055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","P27361","62","GC16M051076","4.40990877151489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"TRP-AGG2-5","TRNA-Pro (Anticodon AGG) 2-5","RNA Gene","","18","GC14M028662","4.37897920608521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-5"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","64","GC19P048954","4.32917308807373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"ETS2","ETS Proto-Oncogene 2, Transcription Factor","Protein Coding","P15036","52","GC21P038805","4.31741762161255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS2"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P151538","4.30223846435547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"NCL","Nucleolin","Protein Coding","P19338","57","GC02M231453","4.29161739349365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCL"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","P10914","60","GC05M132440","4.2768759727478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","4.26485109329224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","67","GC03P041194","4.22578430175781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"PRKCA","Protein Kinase C Alpha","Protein Coding","P17252","64","GC17P066302","4.20492172241211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA"
"TPP1","Tripeptidyl Peptidase 1","Protein Coding","O14773","59","GC11M015315","4.19113445281982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPP1"
"BMI1","BMI1 Proto-Oncogene, Polycomb Ring Finger","Protein Coding","P35226","56","GC10P022385","4.17068815231323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMI1"
"MEN1","Menin 1","Protein Coding","O00255","59","GC11M064803","4.14872694015503","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","61","GC05P000248","4.14810276031494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","4.13360118865967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"MAD1L1","Mitotic Arrest Deficient 1 Like 1","Protein Coding","Q9Y6D9","59","GC07M001815","4.11060810089111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD1L1"
"RUVBL2","RuvB Like AAA ATPase 2","Protein Coding","Q9Y230","57","GC19P048993","4.04591464996338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL2"
"DCAF1","DDB1 And CUL4 Associated Factor 1","Protein Coding","Q9Y4B6","51","GC03M051395","4.01737880706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF1"
"RUVBL1","RuvB Like AAA ATPase 1","Protein Coding","Q9Y265","57","GC03M128064","3.99420285224915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL1"
"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1","Protein Coding","P08238","62","GC06P044246","3.97826790809631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M035956","3.9350962638855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","3.92150163650513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"HDAC1","Histone Deacetylase 1","Protein Coding","Q13547","63","GC01P032292","3.87404489517212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"HNRNPD","Heterogeneous Nuclear Ribonucleoprotein D","Protein Coding","Q14103","55","GC04M082352","3.86262202262878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPD"
"BCL2L1","BCL2 Like 1","Protein Coding","Q07817","62","GC20M031664","3.84846138954163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","P09038","59","GC04P122826","3.84190821647644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","3.79956674575806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"TRE-TTC3-1","TRNA-Glu (Anticodon TTC) 3-1","RNA Gene","","17","GC01P075884","3.79052710533142","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRE-TTC3-1"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","P24941","64","GC12P055966","3.78248882293701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"PTPA","Protein Phosphatase 2 Phosphatase Activator","Protein Coding","Q15257","58","GC09P152908","3.7463321685791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA"
"ABL1","ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase","Protein Coding","P00519","65","GC09P130713","3.73728680610657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABL1"
"HDAC2","Histone Deacetylase 2","Protein Coding","Q92769","65","GC06M113933","3.73708176612854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2"
"ATRX","ATRX Chromatin Remodeler","Protein Coding","P46100","60","GC0XM077504","3.71611309051514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRX"
"BLM","BLM RecQ Like Helicase","Protein Coding","P54132","62","GC15P090717","3.71300077438354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","3.65342617034912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"LSM11","LSM11, U7 Small Nuclear RNA Associated","Protein Coding","P83369","47","GC05P157743","3.63191080093384","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM11"
"MAX","MYC Associated Factor X","Protein Coding","P61244","59","GC14M065425","3.62338137626648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAX"
"ATF7IP","Activating Transcription Factor 7 Interacting Protein","Protein Coding","Q6VMQ6","44","GC12P014365","3.62192058563232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF7IP"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","3.61857962608337","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","64","GC01M226360","3.59486818313599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"TNFSF10","TNF Superfamily Member 10","Protein Coding","P50591","58","GC03M172505","3.57519292831421","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF10"
"SMAD3","SMAD Family Member 3","Protein Coding","P84022","66","GC15P067063","3.45053100585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"GRHL2","Grainyhead Like Transcription Factor 2","Protein Coding","Q6ISB3","52","GC08P101492","3.43667268753052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRHL2"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","62","GC01M058780","3.39503574371338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","3.39435911178589","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"TCEAL7","Transcription Elongation Factor A Like 7","Protein Coding","Q9BRU2","41","GC0XP103330","3.38889360427856","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCEAL7"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","37","GC11M001995","3.38855934143066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","3.37386012077332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"NFX1","Nuclear Transcription Factor, X-Box Binding 1","Protein Coding","Q12986","44","GC09P074458","3.37031269073486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFX1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","3.35439538955688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"MKI67","Marker Of Proliferation Ki-67","Protein Coding","P46013","57","GC10M128096","3.35089516639709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKI67"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","3.34936952590942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"CCNA2","Cyclin A2","Protein Coding","P20248","58","GC04M121816","3.34441304206848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA2"
"COIL","Coilin","Protein Coding","P38432","53","GC17M056938","3.30961847305298","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COIL"
"SMARCA4","SWI/SNF Related BAF Chromatin Remodeling Complex Subunit ATPase 4","Protein Coding","P51532","64","GC19P151807","3.2554075717926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","3.21788883209229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"IL2","Interleukin 2","Protein Coding","P60568","58","GC04M122451","3.21577072143555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"PARP4","Poly(ADP-Ribose) Polymerase Family Member 4","Protein Coding","Q9UKK3","53","GC13M024420","3.2138078212738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP4"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","3.21312141418457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"YLPM1","YLP Motif Containing 1","Protein Coding","P49750","41","GC14P074763","3.20742154121399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YLPM1"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","P08069","68","GC15P098648","3.18784427642822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B Readthrough (NMD Candidate)","RNA Gene","","25","GC20P063657","3.18479013442993","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTEL1-TNFRSF6B"
"GNL3L","G Protein Nucleolar 3 Like","Protein Coding","Q9NVN8","41","GC0XP061087","3.17987513542175","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNL3L"
"HNRNPA2B1","Heterogeneous Nuclear Ribonucleoprotein A2/B1","Protein Coding","P22626","60","GC07M026174","3.17328071594238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA2B1"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","68","GC04P029505","3.16678047180176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"INPP4A","Inositol Polyphosphate-4-Phosphatase Type I A","Protein Coding","Q96PE3","54","GC02P100127","3.16063976287842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP4A"
"PCNA","Proliferating Cell Nuclear Antigen","Protein Coding","P12004","63","GC20M005114","3.12850999832153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA"
"TGS1","Trimethylguanosine Synthase 1","Protein Coding","Q96RS0","48","GC08P055773","3.12242746353149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGS1"
"XRN1","5'-3' Exoribonuclease 1","Protein Coding","Q8IZH2","47","GC03M142306","3.10490131378174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRN1"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","61","GC11M032365","3.10469770431519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"POLR2A","RNA Polymerase II Subunit A","Protein Coding","P24928","58","GC17P153752","3.09657311439514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A"
"CCT5","Chaperonin Containing TCP1 Subunit 5","Protein Coding","P48643","56","GC05P010249","3.08443593978882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT5"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","62","GC10P048306","3.07758760452271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"SNRPB","Small Nuclear Ribonucleoprotein Polypeptides B And B1","Protein Coding","P14678","54","GC20M002461","3.05666470527649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPB"
